Start training script: Fri Nov 21 22:16:28 2025
[Epoch 67/200]Train Loss: 0.2307 Acc: 0.9115 | Val Loss: 0.2498 Acc: 0.9029
[Epoch 68/200]Train Loss: 0.2312 Acc: 0.9117 | Val Loss: 0.2996 Acc: 0.8889
[Epoch 69/200]Train Loss: 0.2310 Acc: 0.9083 | Val Loss: 0.2794 Acc: 0.8943
[Epoch 70/200]Train Loss: 0.2245 Acc: 0.9156 | Val Loss: 0.2720 Acc: 0.8916
[Epoch 71/200]Train Loss: 0.2237 Acc: 0.9111 | Val Loss: 0.2462 Acc: 0.9026
[Epoch 72/200]Train Loss: 0.2289 Acc: 0.9114 | Val Loss: 0.2365 Acc: 0.9047
[Epoch 73/200]Train Loss: 0.2198 Acc: 0.9150 | Val Loss: 0.2897 Acc: 0.8898
[Epoch 74/200]Train Loss: 0.2190 Acc: 0.9161 | Val Loss: 0.2538 Acc: 0.9065
[Epoch 75/200]Train Loss: 0.2237 Acc: 0.9119 | Val Loss: 0.2591 Acc: 0.8990
[Epoch 76/200]Train Loss: 0.2139 Acc: 0.9156 | Val Loss: 0.2732 Acc: 0.8913
[Epoch 77/200]Train Loss: 0.2159 Acc: 0.9144 | Val Loss: 0.2642 Acc: 0.8996
[Epoch 78/200]Train Loss: 0.2100 Acc: 0.9176 | Val Loss: 0.2460 Acc: 0.9029
[Epoch 79/200]Train Loss: 0.2182 Acc: 0.9146 | Val Loss: 0.2578 Acc: 0.8981
[Epoch 80/200]Train Loss: 0.2083 Acc: 0.9194 | Val Loss: 0.2332 Acc: 0.9118
[Epoch 81/200]Train Loss: 0.2110 Acc: 0.9216 | Val Loss: 0.2485 Acc: 0.9056
[Epoch 82/200]Train Loss: 0.2131 Acc: 0.9170 | Val Loss: 0.2298 Acc: 0.9112
[Epoch 83/200]Train Loss: 0.2073 Acc: 0.9234 | Val Loss: 0.2314 Acc: 0.9124
[Epoch 84/200]Train Loss: 0.2021 Acc: 0.9229 | Val Loss: 0.2339 Acc: 0.9085
[Epoch 85/200]Train Loss: 0.2010 Acc: 0.9239 | Val Loss: 0.2516 Acc: 0.8969
[Epoch 86/200]Train Loss: 0.2024 Acc: 0.9209 | Val Loss: 0.2362 Acc: 0.9091
[Epoch 87/200]Train Loss: 0.1995 Acc: 0.9218 | Val Loss: 0.2264 Acc: 0.9139
[Epoch 88/200]Train Loss: 0.1997 Acc: 0.9228 | Val Loss: 0.2368 Acc: 0.9050
[Epoch 89/200]Train Loss: 0.1997 Acc: 0.9239 | Val Loss: 0.2277 Acc: 0.9130
[Epoch 90/200]Train Loss: 0.1963 Acc: 0.9252 | Val Loss: 0.2596 Acc: 0.8978
[Epoch 91/200]Train Loss: 0.1947 Acc: 0.9233 | Val Loss: 0.2360 Acc: 0.9148
[Epoch 92/200]Train Loss: 0.1909 Acc: 0.9270 | Val Loss: 0.2758 Acc: 0.9047
[Epoch 93/200]Train Loss: 0.1944 Acc: 0.9241 | Val Loss: 0.2622 Acc: 0.8966
[Epoch 94/200]Train Loss: 0.1899 Acc: 0.9252 | Val Loss: 0.2545 Acc: 0.9038
[Epoch 95/200]Train Loss: 0.1939 Acc: 0.9233 | Val Loss: 0.2228 Acc: 0.9121
