2025-11-30 23:27:14,004 [INFO] app.main(): Loaded task configs [(<TrueTaskType.MenuSelect: 'Menu Selection'>, 5, [{'target_index': 4}, {'target_index': 5}, {'target_index': 4}, {'target_index': 5}, {'target_index': 3}]), (<TrueTaskType.DragDrop: 'Drag and Drop'>, 5, [{'target_area': 'B'}, {'target_area': 'D'}, {'target_area': 'A'}, {'target_area': 'B'}, {'target_area': 'D'}]), (<TrueTaskType.KeyboardInput: 'Keyboard Input'>, 5, [{'target_word': 'TYPING'}, {'target_word': 'MONITOR'}, {'target_word': 'NETWORK'}, {'target_word': 'PRACTICE'}, {'target_word': 'LANGUAGE'}])]
2025-11-30 23:27:17,043 [INFO] controller.start_study(): Study started.
2025-11-30 23:27:19,272 [INFO] controller.start_next_trial(): Start trial 1 of task MenuSelect
2025-11-30 23:27:23,265 [DEBUG] mouse_listener.on_move(): Mouse moved to (994.0, 497.0)
2025-11-30 23:27:23,273 [DEBUG] mouse_listener.on_move(): Mouse moved to (990.0, 496.0)
2025-11-30 23:27:23,280 [DEBUG] mouse_listener.on_move(): Mouse moved to (985.0, 495.0)
2025-11-30 23:27:23,295 [DEBUG] mouse_listener.on_move(): Mouse moved to (978.0, 495.0)
2025-11-30 23:27:23,303 [DEBUG] mouse_listener.on_move(): Mouse moved to (966.0, 494.0)
2025-11-30 23:27:23,310 [DEBUG] mouse_listener.on_move(): Mouse moved to (957.0, 492.0)
2025-11-30 23:27:23,318 [DEBUG] mouse_listener.on_move(): Mouse moved to (943.0, 491.0)
2025-11-30 23:27:23,325 [DEBUG] mouse_listener.on_move(): Mouse moved to (930.0, 489.0)
2025-11-30 23:27:23,333 [DEBUG] mouse_listener.on_move(): Mouse moved to (919.0, 487.0)
2025-11-30 23:27:23,340 [DEBUG] mouse_listener.on_move(): Mouse moved to (900.0, 483.0)
2025-11-30 23:27:23,348 [DEBUG] mouse_listener.on_move(): Mouse moved to (884.0, 480.0)
2025-11-30 23:27:23,356 [DEBUG] mouse_listener.on_move(): Mouse moved to (869.0, 477.0)
2025-11-30 23:27:23,365 [DEBUG] mouse_listener.on_move(): Mouse moved to (850.0, 473.0)
2025-11-30 23:27:23,372 [DEBUG] mouse_listener.on_move(): Mouse moved to (833.0, 469.0)
2025-11-30 23:27:23,377 [DEBUG] mouse_listener.on_move(): Mouse moved to (814.0, 464.0)
2025-11-30 23:27:23,387 [DEBUG] mouse_listener.on_move(): Mouse moved to (797.0, 458.0)
2025-11-30 23:27:23,401 [DEBUG] mouse_listener.on_move(): Mouse moved to (779.0, 451.0)
2025-11-30 23:27:23,410 [DEBUG] mouse_listener.on_move(): Mouse moved to (760.0, 445.0)
2025-11-30 23:27:23,417 [DEBUG] mouse_listener.on_move(): Mouse moved to (743.0, 440.0)
2025-11-30 23:27:23,425 [DEBUG] mouse_listener.on_move(): Mouse moved to (731.0, 437.0)
2025-11-30 23:27:23,431 [DEBUG] mouse_listener.on_move(): Mouse moved to (713.0, 431.0)
