participant_id,task,trail,label,consecutive_frames
0,POINT_N_CLICK,1,LEFT_PRESS,11
0,POINT_N_CLICK,1,LEFT_RELEASE,12
0,POINT_N_CLICK,1,NONE,12
0,POINT_N_CLICK,2,NONE,35
0,POINT_N_CLICK,2,LEFT_PRESS,13
0,POINT_N_CLICK,2,LEFT_RELEASE,11
0,POINT_N_CLICK,2,NONE,50
0,POINT_N_CLICK,2,LEFT_PRESS,11
0,POINT_N_CLICK,2,LEFT_RELEASE,14
0,POINT_N_CLICK,2,NONE,32
0,POINT_N_CLICK,2,LEFT_PRESS,13
0,POINT_N_CLICK,2,LEFT_RELEASE,14
0,POINT_N_CLICK,2,NONE,10
0,POINT_N_CLICK,3,NONE,49
0,POINT_N_CLICK,3,LEFT_PRESS,11
0,POINT_N_CLICK,3,LEFT_RELEASE,12
0,POINT_N_CLICK,3,NONE,22
0,POINT_N_CLICK,3,LEFT_PRESS,12
0,POINT_N_CLICK,3,LEFT_RELEASE,14
0,POINT_N_CLICK,3,NONE,31
0,POINT_N_CLICK,3,LEFT_PRESS,12
0,POINT_N_CLICK,3,LEFT_RELEASE,12
0,POINT_N_CLICK,3,NONE,14
0,POINT_N_CLICK,4,NONE,30
0,POINT_N_CLICK,4,LEFT_PRESS,10
0,POINT_N_CLICK,4,LEFT_RELEASE,15
0,POINT_N_CLICK,4,NONE,18
0,POINT_N_CLICK,4,LEFT_PRESS,9
0,POINT_N_CLICK,4,LEFT_RELEASE,8
0,POINT_N_CLICK,4,NONE,27
0,POINT_N_CLICK,4,LEFT_PRESS,9
0,POINT_N_CLICK,4,LEFT_RELEASE,13
0,POINT_N_CLICK,4,NONE,20
0,RIGHT_CLICK,0,NONE,58
0,RIGHT_CLICK,0,RIGHT_PRESS,11
0,RIGHT_CLICK,0,RIGHT_RELEASE,13
0,RIGHT_CLICK,0,NONE,21
0,RIGHT_CLICK,1,NONE,33
0,RIGHT_CLICK,1,RIGHT_PRESS,10
0,RIGHT_CLICK,1,RIGHT_RELEASE,12
0,RIGHT_CLICK,1,NONE,25
0,RIGHT_CLICK,2,NONE,28
0,RIGHT_CLICK,2,RIGHT_PRESS,11
0,RIGHT_CLICK,2,RIGHT_RELEASE,13
0,RIGHT_CLICK,2,NONE,19
0,RIGHT_CLICK,3,NONE,53
0,RIGHT_CLICK,3,RIGHT_PRESS,13
0,RIGHT_CLICK,3,RIGHT_RELEASE,12
0,RIGHT_CLICK,3,NONE,16
0,RIGHT_CLICK,4,NONE,39
0,RIGHT_CLICK,4,RIGHT_PRESS,9
0,RIGHT_CLICK,4,RIGHT_RELEASE,12
0,RIGHT_CLICK,4,NONE,34
0,RIGHT_CLICK,5,NONE,43
0,RIGHT_CLICK,5,RIGHT_PRESS,10
0,RIGHT_CLICK,5,RIGHT_RELEASE,11
0,RIGHT_CLICK,5,NONE,27
0,RIGHT_CLICK,6,NONE,58
0,RIGHT_CLICK,6,RIGHT_PRESS,16
0,RIGHT_CLICK,6,RIGHT_RELEASE,14
0,RIGHT_CLICK,6,NONE,18
0,RIGHT_CLICK,7,NONE,56
0,RIGHT_CLICK,7,RIGHT_PRESS,10
0,RIGHT_CLICK,7,RIGHT_RELEASE,13
0,RIGHT_CLICK,7,NONE,18
0,RIGHT_CLICK,8,NONE,48
0,RIGHT_CLICK,8,RIGHT_PRESS,11
0,RIGHT_CLICK,8,RIGHT_RELEASE,14
0,RIGHT_CLICK,8,NONE,29
0,RIGHT_CLICK,9,NONE,54
0,RIGHT_CLICK,9,RIGHT_PRESS,12
0,RIGHT_CLICK,9,RIGHT_RELEASE,13
0,RIGHT_CLICK,9,NONE,37
1,DRAGGING,0,NONE,41
1,DRAGGING,0,LEFT_PRESS,10
1,DRAGGING,0,NONE,25
1,DRAGGING,0,LEFT_RELEASE,8
1,DRAGGING,0,NONE,14
1,DRAGGING,1,NONE,52
1,DRAGGING,1,LEFT_PRESS,9
1,DRAGGING,1,NONE,47
1,DRAGGING,1,LEFT_RELEASE,8
1,DRAGGING,1,NONE,6
1,DRAGGING,2,NONE,48
1,DRAGGING,2,LEFT_PRESS,8
1,DRAGGING,2,NONE,59
1,DRAGGING,2,LEFT_RELEASE,9
1,DRAGGING,2,NONE,9
1,DRAGGING,3,NONE,48
1,DRAGGING,3,LEFT_PRESS,11
1,DRAGGING,3,NONE,48
1,DRAGGING,3,LEFT_RELEASE,10
1,DRAGGING,3,NONE,14
1,DRAGGING,4,NONE,57
1,DRAGGING,4,LEFT_PRESS,7
1,DRAGGING,4,NONE,53
1,DRAGGING,4,LEFT_RELEASE,8
1,DRAGGING,4,NONE,14
1,LEFT_CLICK,0,NONE,45
1,LEFT_CLICK,0,LEFT_PRESS,7
1,LEFT_CLICK,0,LEFT_RELEASE,12
1,LEFT_CLICK,0,NONE,10
1,LEFT_CLICK,1,NONE,40
1,LEFT_CLICK,1,LEFT_PRESS,8
1,LEFT_CLICK,1,LEFT_RELEASE,16
1,LEFT_CLICK,2,NONE,40
1,LEFT_CLICK,2,LEFT_PRESS,6
1,LEFT_CLICK,2,LEFT_RELEASE,8
1,LEFT_CLICK,3,NONE,36
1,LEFT_CLICK,3,LEFT_PRESS,7
1,LEFT_CLICK,3,LEFT_RELEASE,11
1,LEFT_CLICK,4,NONE,44
1,LEFT_CLICK,4,LEFT_PRESS,9
1,LEFT_CLICK,4,LEFT_RELEASE,14
1,LEFT_CLICK,4,NONE,6
1,LEFT_CLICK,5,NONE,45
1,LEFT_CLICK,5,LEFT_PRESS,7
1,LEFT_CLICK,5,LEFT_RELEASE,10
1,LEFT_CLICK,6,NONE,37
1,LEFT_CLICK,6,LEFT_PRESS,7
1,LEFT_CLICK,6,LEFT_RELEASE,12
1,LEFT_CLICK,7,NONE,26
1,LEFT_CLICK,7,LEFT_PRESS,7
1,LEFT_CLICK,7,LEFT_RELEASE,11
1,LEFT_CLICK,7,NONE,1
1,LEFT_CLICK,8,NONE,39
1,LEFT_CLICK,8,LEFT_PRESS,8
1,LEFT_CLICK,8,LEFT_RELEASE,16
1,LEFT_CLICK,9,NONE,51
1,LEFT_CLICK,9,LEFT_PRESS,7
1,LEFT_CLICK,9,LEFT_RELEASE,25
1,MENU_NAVIGATION,0,NONE,61
1,MENU_NAVIGATION,0,RIGHT_PRESS,9
1,MENU_NAVIGATION,0,RIGHT_RELEASE,18
1,MENU_NAVIGATION,0,NONE,9
1,MENU_NAVIGATION,0,LEFT_PRESS,6
1,MENU_NAVIGATION,0,LEFT_RELEASE,9
1,MENU_NAVIGATION,0,NONE,11
1,MENU_NAVIGATION,1,NONE,35
1,MENU_NAVIGATION,1,RIGHT_PRESS,8
1,MENU_NAVIGATION,1,RIGHT_RELEASE,14
1,MENU_NAVIGATION,1,NONE,13
1,MENU_NAVIGATION,1,LEFT_PRESS,8
1,MENU_NAVIGATION,1,LEFT_RELEASE,13
1,MENU_NAVIGATION,1,NONE,3
1,MENU_NAVIGATION,2,NONE,36
1,MENU_NAVIGATION,2,RIGHT_PRESS,11
1,MENU_NAVIGATION,2,RIGHT_RELEASE,12
1,MENU_NAVIGATION,2,NONE,30
1,MENU_NAVIGATION,2,LEFT_PRESS,8
1,MENU_NAVIGATION,2,LEFT_RELEASE,13
1,MENU_NAVIGATION,2,NONE,2
1,MENU_NAVIGATION,3,NONE,37
1,MENU_NAVIGATION,3,RIGHT_PRESS,10
1,MENU_NAVIGATION,3,RIGHT_RELEASE,14
1,MENU_NAVIGATION,3,NONE,5
1,MENU_NAVIGATION,3,LEFT_PRESS,7
1,MENU_NAVIGATION,3,LEFT_RELEASE,11
1,MENU_NAVIGATION,3,NONE,5
1,MENU_NAVIGATION,4,NONE,36
1,MENU_NAVIGATION,4,RIGHT_PRESS,7
