pid,task_type,trial_index,complete_time,is_correct,MenuSelect-menu_length,MenuSelect-target_index,MenuSelect-selected_index,MenuSelect-error_distance,MenuSelect-target_distance,MenuSelect-moving_distance,DragDrop-target_area,DragDrop-dropped_area,DragDrop-error_distance,DragDrop-target_distance,DragDrop-drag_distance,DragDrop-moving_distance,KeyboardInput-target_word,KeyboardInput-entered_word,KeyboardInput-num_key_clicks,KeyboardInput-num_backspaces,KeyboardInput-moving_distance,system
3,KeyboardInput,4,6.702393054962158,1,,,,,,,,,,,,,COMPUTER,COMPUTER,9.0,0.0,1925.3147758548623,touchpad
3,KeyboardInput,5,8.00866985321045,1,,,,,,,,,,,,,ALGORITHM,ALGORITHM,10.0,0.0,2375.05731816271,touchpad
3,MenuSelect,1,11.928553819656372,1,6.0,3.0,3.0,223.0156945149825,232.13142829009604,238.9886011127489,,,,,,,,,,,,touchpad
3,MenuSelect,2,3.298466205596924,1,6.0,4.0,4.0,1258.3075935557251,284.8596145472362,250.3159076555522,,,,,,,,,,,,touchpad
3,MenuSelect,3,2.9526991844177246,1,6.0,4.0,4.0,1174.4858449551446,284.8596145472362,248.5838466007616,,,,,,,,,,,,touchpad
3,MenuSelect,4,2.839718818664551,1,6.0,0.0,0.0,1096.3585180040332,111.68258592994702,43.183178022327326,,,,,,,,,,,,touchpad
3,MenuSelect,5,2.2227320671081543,1,6.0,4.0,4.0,1234.2418725679338,284.8596145472362,262.3660943116785,,,,,,,,,,,,touchpad
4,DragDrop,1,11.16207480430603,0,,,,,,,B,,1087.589076811642,1087.589076811642,0.0,998.4731779230056,,,,,,gesture
4,DragDrop,2,7.029145002365112,1,,,,,,,A,A,771.9183894687313,771.9183894687313,0.0,768.3763703956272,,,,,,gesture
4,DragDrop,3,3.300220727920532,0,,,,,,,B,,1088.242620007138,1088.242620007138,0.0,44.24992615489562,,,,,,gesture
4,DragDrop,4,3.466157913208008,1,,,,,,,C,C,853.6509825449743,853.6509825449743,0.0,928.2999580490282,,,,,,gesture
4,DragDrop,5,8.656017780303955,1,,,,,,,B,B,1077.6497575743244,1077.6497575743244,0.0,1160.3494257612983,,,,,,gesture
4,KeyboardInput,1,76.37254905700684,1,,,,,,,,,,,,,PRACTICE,PRACTICE,19.0,5.0,10353.673917816255,gesture
4,KeyboardInput,2,113.58879113197328,1,,,,,,,,,,,,,ALGORITHM,ALGORITHM,22.0,6.0,13976.148454170776,gesture
4,KeyboardInput,3,73.4340968132019,1,,,,,,,,,,,,,NETWORK,NETWORK,22.0,7.0,13488.19046735743,gesture
4,KeyboardInput,4,75.86529994010925,1,,,,,,,,,,,,,EDUCATION,EDUCATION,16.0,3.0,11745.6538185983,gesture
4,KeyboardInput,5,0.2346339225769043,0,,,,,,,,,,,,,LANGUAGE,,1.0,0.0,5.5373191879907555,gesture
4,MenuSelect,1,1.2637982368469238,0,6.0,0.0,,117.881296226331,111.68258592994702,19.275399939955413,,,,,,,,,,,,gesture
4,MenuSelect,2,5.198554754257202,0,6.0,5.0,,1367.5178243810938,339.31254029286924,104.31776767330224,,,,,,,,,,,,gesture
4,MenuSelect,3,1.1283848285675049,0,6.0,1.0,,1293.0061871468365,139.8177385026664,400.72493248801015,,,,,,,,,,,,gesture
4,MenuSelect,4,9.004020929336548,0,6.0,5.0,1.0,1108.3000496255515,339.31254029286924,801.8856625442332,,,,,,,,,,,,gesture
4,MenuSelect,5,2.991473913192749,0,6.0,0.0,,39.56008088970496,111.68258592994702,196.52923206500003,,,,,,,,,,,,gesture
4,DragDrop,1,13.973777294158936,1,,,,,,,B,B,977.0834150675162,977.0834150675162,0.0,997.6833511465422,,,,,,touchpad
4,DragDrop,2,2.7220458984375,1,,,,,,,A,A,694.9510774148063,694.9510774148063,0.0,711.4806389440688,,,,,,touchpad
4,DragDrop,3,1.9883618354797363,1,,,,,,,B,B,985.1725737148796,985.1725737148796,0.0,1400.3913832517958,,,,,,touchpad
4,DragDrop,4,1.8429267406463623,1,,,,,,,C,C,775.7654284640429,775.7654284640429,0.0,721.3280864589275,,,,,,touchpad
4,DragDrop,5,2.181772947311402,1,,,,,,,B,B,1050.8610754995163,1050.8610754995163,0.0,926.7798906645744,,,,,,touchpad
4,KeyboardInput,1,9.20952582359314,1,,,,,,,,,,,,,PRACTICE,PRACTICE,9.0,0.0,2212.9636597101658,touchpad
4,KeyboardInput,2,10.040003061294556,1,,,,,,,,,,,,,ALGORITHM,ALGORITHM,10.0,0.0,2219.372532949373,touchpad
4,KeyboardInput,3,7.86003303527832,1,,,,,,,,,,,,,NETWORK,NETWORK,8.0,0.0,2073.779400678959,touchpad
4,KeyboardInput,4,8.235944986343384,1,,,,,,,,,,,,,EDUCATION,EDUCATION,10.0,0.0,1949.8803593813136,touchpad
4,KeyboardInput,5,9.687933921813965,1,,,,,,,,,,,,,LANGUAGE,LANGUAGE,9.0,0.0,2669.343028328723,touchpad
4,MenuSelect,1,2.7392992973327637,1,6.0,0.0,0.0,1040.033172547876,111.68258592994702,57.33339033403795,,,,,,,,,,,,touchpad
4,MenuSelect,2,3.0120699405670166,1,6.0,5.0,5.0,1455.8193569258517,339.31254029286924,344.18325108476574,,,,,,,,,,,,touchpad
4,MenuSelect,3,2.258143901824951,1,6.0,1.0,1.0,1287.8175336591748,139.8177385026664,96.50962632161226,,,,,,,,,,,,touchpad
4,MenuSelect,4,2.012996196746826,1,6.0,5.0,5.0,1397.9964234575136,339.31254029286924,340.37951048383553,,,,,,,,,,,,touchpad
4,MenuSelect,5,2.2310872077941895,1,6.0,0.0,0.0,1273.1712375010677,111.68258592994702,34.07872599709485,,,,,,,,,,,,touchpad
