Start training script: Sun Nov 30 17:03:02 2025
Generating dataset from labeled CSV.
> Val:   Counter({np.int64(0): 2199, np.int64(1): 751, np.int64(2): 668, np.int64(4): 542, np.int64(3): 346})
> Test:  Counter({np.int64(0): 2199, np.int64(1): 750, np.int64(2): 669, np.int64(4): 542, np.int64(3): 346})
Using device: cpu
Start training with config: win5-noweight
Config details: TrainingConfig(name='win5-noweight', weight=None, learning_rate=0.005, max_epochs=100, early_stopping_patience=10)
[Epoch 1/100] Train Loss: 1.2066 Acc: 0.5241 | Val Loss: 0.9362 Acc: 0.5542
[Epoch 2/100] Train Loss: 0.8330 Acc: 0.6287 | Val Loss: 0.7374 Acc: 0.6767
[Epoch 3/100] Train Loss: 0.7180 Acc: 0.7005 | Val Loss: 0.7522 Acc: 0.6842
[Epoch 4/100] Train Loss: 0.6686 Acc: 0.7233 | Val Loss: 0.6241 Acc: 0.7605
[Epoch 5/100] Train Loss: 0.6134 Acc: 0.7553 | Val Loss: 0.6652 Acc: 0.7304
[Epoch 6/100] Train Loss: 0.5703 Acc: 0.7825 | Val Loss: 0.5868 Acc: 0.7648
[Epoch 7/100] Train Loss: 0.5469 Acc: 0.7900 | Val Loss: 0.5493 Acc: 0.7923
[Epoch 8/100] Train Loss: 0.5264 Acc: 0.7995 | Val Loss: 0.5666 Acc: 0.7841
[Epoch 9/100] Train Loss: 0.5187 Acc: 0.8009 | Val Loss: 0.5236 Acc: 0.7952
[Epoch 10/100] Train Loss: 0.4990 Acc: 0.8065 | Val Loss: 0.5429 Acc: 0.7883
[Epoch 11/100] Train Loss: 0.4904 Acc: 0.8116 | Val Loss: 0.5914 Acc: 0.7710
[Epoch 12/100] Train Loss: 0.4716 Acc: 0.8235 | Val Loss: 0.5270 Acc: 0.7965
[Epoch 13/100] Train Loss: 0.4620 Acc: 0.8222 | Val Loss: 0.4956 Acc: 0.8094
[Epoch 14/100] Train Loss: 0.4523 Acc: 0.8254 | Val Loss: 0.4590 Acc: 0.8282
[Epoch 15/100] Train Loss: 0.4582 Acc: 0.8254 | Val Loss: 0.4682 Acc: 0.8278
[Epoch 16/100] Train Loss: 0.4372 Acc: 0.8314 | Val Loss: 0.5033 Acc: 0.8154
[Epoch 17/100] Train Loss: 0.4416 Acc: 0.8298 | Val Loss: 0.4801 Acc: 0.8118
[Epoch 18/100] Train Loss: 0.4344 Acc: 0.8314 | Val Loss: 0.4776 Acc: 0.8209
[Epoch 19/100] Train Loss: 0.4237 Acc: 0.8363 | Val Loss: 0.4515 Acc: 0.8324
[Epoch 20/100] Train Loss: 0.4106 Acc: 0.8422 | Val Loss: 0.4947 Acc: 0.8080
[Epoch 21/100] Train Loss: 0.4128 Acc: 0.8411 | Val Loss: 0.4331 Acc: 0.8349
[Epoch 22/100] Train Loss: 0.3994 Acc: 0.8451 | Val Loss: 0.4122 Acc: 0.8518
[Epoch 23/100] Train Loss: 0.3932 Acc: 0.8473 | Val Loss: 0.4353 Acc: 0.8384
[Epoch 24/100] Train Loss: 0.3921 Acc: 0.8478 | Val Loss: 0.4380 Acc: 0.8360
[Epoch 25/100] Train Loss: 0.3821 Acc: 0.8527 | Val Loss: 0.4746 Acc: 0.8191
[Epoch 26/100] Train Loss: 0.3900 Acc: 0.8502 | Val Loss: 0.4120 Acc: 0.8344
[Epoch 27/100] Train Loss: 0.3718 Acc: 0.8534 | Val Loss: 0.4270 Acc: 0.8400
[Epoch 28/100] Train Loss: 0.3734 Acc: 0.8528 | Val Loss: 0.4707 Acc: 0.8196
[Epoch 29/100] Train Loss: 0.3763 Acc: 0.8557 | Val Loss: 0.4118 Acc: 0.8455
[Epoch 30/100] Train Loss: 0.3717 Acc: 0.8553 | Val Loss: 0.3892 Acc: 0.8582
[Epoch 31/100] Train Loss: 0.3698 Acc: 0.8602 | Val Loss: 0.4067 Acc: 0.8404
[Epoch 32/100] Train Loss: 0.3533 Acc: 0.8617 | Val Loss: 0.4294 Acc: 0.8407
[Epoch 33/100] Train Loss: 0.3546 Acc: 0.8616 | Val Loss: 0.4012 Acc: 0.8484
[Epoch 34/100] Train Loss: 0.3465 Acc: 0.8636 | Val Loss: 0.4096 Acc: 0.8393
[Epoch 35/100] Train Loss: 0.3436 Acc: 0.8653 | Val Loss: 0.3689 Acc: 0.8575
[Epoch 36/100] Train Loss: 0.3382 Acc: 0.8694 | Val Loss: 0.3812 Acc: 0.8489
[Epoch 37/100] Train Loss: 0.3423 Acc: 0.8672 | Val Loss: 0.3661 Acc: 0.8531
[Epoch 38/100] Train Loss: 0.3318 Acc: 0.8704 | Val Loss: 0.4804 Acc: 0.8240
[Epoch 39/100] Train Loss: 0.3286 Acc: 0.8726 | Val Loss: 0.3765 Acc: 0.8540
[Epoch 40/100] Train Loss: 0.3228 Acc: 0.8749 | Val Loss: 0.3805 Acc: 0.8566
[Epoch 41/100] Train Loss: 0.3170 Acc: 0.8781 | Val Loss: 0.4272 Acc: 0.8375
[Epoch 42/100] Train Loss: 0.3170 Acc: 0.8789 | Val Loss: 0.3464 Acc: 0.8655
[Epoch 43/100] Train Loss: 0.3143 Acc: 0.8759 | Val Loss: 0.3833 Acc: 0.8466
[Epoch 44/100] Train Loss: 0.3087 Acc: 0.8789 | Val Loss: 0.3717 Acc: 0.8600
[Epoch 45/100] Train Loss: 0.3111 Acc: 0.8773 | Val Loss: 0.3231 Acc: 0.8762
[Epoch 46/100] Train Loss: 0.3019 Acc: 0.8810 | Val Loss: 0.3851 Acc: 0.8580
[Epoch 47/100] Train Loss: 0.3109 Acc: 0.8818 | Val Loss: 0.3743 Acc: 0.8531
[Epoch 48/100] Train Loss: 0.2913 Acc: 0.8879 | Val Loss: 0.3220 Acc: 0.8791
[Epoch 49/100] Train Loss: 0.2925 Acc: 0.8855 | Val Loss: 0.3540 Acc: 0.8624
[Epoch 50/100] Train Loss: 0.2867 Acc: 0.8884 | Val Loss: 0.3573 Acc: 0.8606
[Epoch 51/100] Train Loss: 0.2848 Acc: 0.8874 | Val Loss: 0.3553 Acc: 0.8651
[Epoch 52/100] Train Loss: 0.2857 Acc: 0.8892 | Val Loss: 0.3217 Acc: 0.8786
[Epoch 53/100] Train Loss: 0.2821 Acc: 0.8884 | Val Loss: 0.3127 Acc: 0.8804
[Epoch 54/100] Train Loss: 0.2722 Acc: 0.8938 | Val Loss: 0.2917 Acc: 0.8839
[Epoch 55/100] Train Loss: 0.2758 Acc: 0.8937 | Val Loss: 0.3452 Acc: 0.8684
[Epoch 56/100] Train Loss: 0.2684 Acc: 0.8949 | Val Loss: 0.2916 Acc: 0.8879
[Epoch 57/100] Train Loss: 0.2716 Acc: 0.8944 | Val Loss: 0.4135 Acc: 0.8473
[Epoch 58/100] Train Loss: 0.2645 Acc: 0.8963 | Val Loss: 0.2976 Acc: 0.8870
[Epoch 59/100] Train Loss: 0.2661 Acc: 0.8969 | Val Loss: 0.2763 Acc: 0.8964
[Epoch 60/100] Train Loss: 0.2678 Acc: 0.8972 | Val Loss: 0.3316 Acc: 0.8726
[Epoch 61/100] Train Loss: 0.2547 Acc: 0.9025 | Val Loss: 0.2762 Acc: 0.8919
[Epoch 62/100] Train Loss: 0.2556 Acc: 0.9013 | Val Loss: 0.3086 Acc: 0.8842
[Epoch 63/100] Train Loss: 0.2564 Acc: 0.8993 | Val Loss: 0.3311 Acc: 0.8753
[Epoch 64/100] Train Loss: 0.2600 Acc: 0.8986 | Val Loss: 0.3055 Acc: 0.8819
[Epoch 65/100] Train Loss: 0.2561 Acc: 0.9005 | Val Loss: 0.2746 Acc: 0.8937
[Epoch 66/100] Train Loss: 0.2443 Acc: 0.9059 | Val Loss: 0.3098 Acc: 0.8755
[Epoch 67/100] Train Loss: 0.2475 Acc: 0.9058 | Val Loss: 0.3036 Acc: 0.8833
