timestamp,task,trail,WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP
193689,POINT_N_CLICK,4,0.31251925626138466_0.7758916099660993_-0.011293537206946175,0.387474218617481_0.7329416963996007_0.004279277475102115,0.44779712712990627_0.6688201632293223_0.015317203547145336,0.49747439384650743_0.6267091614450488_0.03104895492063857,0.5423506368233255_0.5861594151072091_0.052552570366979495,0.3968213534830864_0.44383319357771367_0.023677696298303557,0.44750780887215913_0.35711075712427437_0.014842426125047433,0.49089874929240274_0.34132128525952865_0.00631067927727607,0.5284703620580397_0.33807044010370135_-0.019179184148620763,0.3746230307016324_0.4188656462609305_0.008467150365554843,0.41195823634665385_0.2745226168517936_-0.00032338907019086716,0.4491908220961749_0.19532092640258378_-0.010579679542086612,0.4821830735379729_0.14158956407308443_-0.02105216538426442
193723,POINT_N_CLICK,4,0.31191358287127513_0.7765888992781164_-0.012455479234455714,0.386049826630435_0.7322438552809966_0.003534480334459439,0.4454809427756261_0.6637414619280623_0.014884890672036338,0.494341009141537_0.6169924722071866_0.030985234297648247,0.5355645552502863_0.5709979947894721_0.05238142666349479,0.3942404537581488_0.44588751109233454_0.023749383398487055,0.44602481942820216_0.361740138921618_0.014668424204061689,0.48926911835710946_0.3531662668321957_0.006241500584677912,0.5250604707644433_0.3564326725881033_-0.018606120475062687,0.37273828409461585_0.42019130813118094_0.008488624153728131,0.4115066618522102_0.2776069278625384_0.0003357266112503367,0.4494368349325704_0.19970501644974953_-0.009731263226908121,0.4820908404011944_0.14650491832733048_-0.020208044692016945
193756,POINT_N_CLICK,4,0.3115331138689653_0.7757672169871904_-0.01305784955024615,0.3858778335161858_0.7295500671731006_0.0029483402976502537,0.44395839575912094_0.6579676687680662_0.014408851906830732,0.49233047428252896_0.6078849423691733_0.030359978967774058,0.532492982167148_0.5583423111033368_0.05165632114513452,0.3919959186858404_0.4472158591889617_0.023735349065934726,0.4452582829908345_0.36729268176832164_0.014373887002523948,0.48860650328668553_0.364758818986768_0.0061193482743867695,0.5229199615038276_0.3737392991765923_-0.01815679798756358,0.3709246076929443_0.4213234108848276_0.00844954161500521,0.41109345084826904_0.27906849464636924_0.0010661458253333534,0.4497895232687035_0.20170160280518537_-0.008756464963469246,0.48224651985322786_0.1490791456623069_-0.019469647681027498
193788,POINT_N_CLICK,4,0.3110912486330141_0.7752074797207338_-0.013998956377505423,0.38503966987195437_0.7279581098450478_0.0021786960132209113,0.4422134054023865_0.6535097098321104_0.013648565805097155,0.49007490684606714_0.6004322996747576_0.029492614562406656,0.5286238684798428_0.5475501086864414_0.05057215428911635,0.3903863524871245_0.44884364930337883_0.02363184615919996,0.44499522516853124_0.3717960492251584_0.013976993894621698,0.4882741079161374_0.37443073363523044_0.005552373958998399,0.5211554596358013_0.3885327494132191_-0.018416447482381797,0.36974465908907833_0.42218413926465537_0.00844754332725674,0.41126404385885207_0.2809594470728388_0.0014814193272169088,0.4504982643802674_0.20408880628627782_-0.008173884944370062,0.48279225963715994_0.15155121220931939_-0.019162007431435462
193822,POINT_N_CLICK,4,0.31043725366715347_0.775294033627051_-0.014820734377860358,0.38455654192020755_0.7260994886313483_0.001446006470305733,0.4410870764508918_0.6496995716071434_0.01276234682094235,0.4885194870632338_0.5943223779211111_0.028651414628898714,0.5261755144234617_0.5384843084457351_0.0495617249533573,0.3888615028442681_0.4497384836478728_0.023472833335002337,0.44417043383698873_0.3742942631624754_0.01371939697746036,0.48781269434530006_0.3803148708456386_0.005345922814507069,0.5202522380775987_0.3978567652692533_-0.018359523945549756,0.3685137992088237_0.4226674435719111_0.008473286465203523,0.4110421989847868_0.28284674672038956_0.0017692289430757883,0.45100509830154667_0.206183212339737_-0.007678888834516741,0.48335638156226707_0.15356237517822213_-0.018904442199268245
193855,POINT_N_CLICK,4,0.31004127188780906_0.7746735794864796_-0.01565490392141289,0.3836973687652768_0.7247828225258672_0.00030709030102333407,0.4398892417633593_0.6470311187725312_0.011440087522595555,0.4870231726011791_0.5892532543190057_0.026700531098107987,0.5235393409439818_0.5305355515673029_0.047245896571877735,0.3882191265727473_0.4509016720615783_0.023173794805685738,0.4438933937214312_0.3773316717451903_0.013133025418786984,0.4874412150656261_0.3851003580660525_0.004448620910802508,0.5192023717265748_0.4044008022777348_-0.019469343669016863,0.3679728380826504_0.42265112385624715_0.008380012634711075,0.4112343314877867_0.28423020671011295_0.002019373411246977,0.4514558232453481_0.20780797190654912_-0.007371544915040762,0.4837679466461455_0.15474460782232624_-0.018692468292076034
193889,POINT_N_CLICK,4,0.3092159575165034_0.7742360221165581_-0.017149784483851963,0.38215293929132_0.72402362664252_-0.0012530716508973362,0.43801693082523824_0.6443516415771681_0.009831187459253814,0.4843933028571732_0.5840174616056868_0.02508524728048682,0.5195254853970922_0.5229200861131563_0.045808745296003935,0.38736859044276817_0.45181208834353753_0.02285506330703104,0.4425439881056545_0.37972085883665824_0.012504584094737993,0.4856837416867477_0.3876818901992562_0.0035430381678414544,0.5170706314167518_0.40711737205442666_-0.020710497038999957,0.36733041580417886_0.4223722492494112_0.008391781562222329,0.41046050577097887_0.28549958809376785_0.0019325969293187794,0.4501503878138078_0.20927476197233708_-0.007600826086680437,0.48209671782297414_0.15497590710022247_-0.019088337569680723
193921,POINT_N_CLICK,4,0.30816963481431964_0.7733892549529205_-0.018483800346328398,0.38006805336596317_0.7239953171389062_-0.0028449859023371316,0.4360548632198372_0.6424297175738684_0.008354816700954077,0.48212246637288153_0.5791792679371983_0.023571174718768118,0.5168912666326457_0.5161866002301705_0.04451473782158098,0.3863075620400361_0.4526258705878549_0.022438628496920306,0.4414604820227621_0.38097972242394085_0.01199591825473708,0.4847979207976709_0.38642906838232066_0.0027607524878082434,0.5168428502338043_0.4039920074133625_-0.021843055536301743,0.3659796228082906_0.42182148495021865_0.008402962491832804,0.40885126303620145_0.2862704995803915_0.00163381260033216,0.4478922266405116_0.20944662737648417_-0.008104456116422291,0.4797301002887291_0.15314135042268592_-0.01967442810475581
193956,POINT_N_CLICK,4,0.30626108779530337_0.7717718759739026_-0.019028095527230567,0.37761905555821856_0.7236989530862775_-0.004122227692626237,0.4339622797055085_0.6408128684308905_0.007288721295943926,0.47980083259537554_0.5745382276012541_0.022517672282720187,0.5148401941685434_0.5093293351348505_0.0438180057580964,0.3846843676938575_0.45289814462854816_0.021720559813336725,0.439118694656372_0.37970845554955_0.011323645075705864,0.48265531938426104_0.3803932165588839_0.0017228628783462654,0.5156800335134595_0.39394218543279574_-0.02343557945883418,0.36370462457910624_0.420657243320969_0.008354640210408076,0.40585949787288517_0.2856288614696568_0.0011768459689280662,0.4439858916315469_0.20811895408472006_-0.009063620487582108,0.47544944354275087_0.15019183228364436_-0.02118310654115481
193991,POINT_N_CLICK,4,0.3033167623203644_0.7701801522226036_-0.01855951100487619,0.3760558109672658_0.722283263440244_-0.004380656988638496,0.43233148586615244_0.6389972047445598_0.006799683644573745,0.477911088725684_0.5713771674501134_0.021388726315708623,0.5129671880267903_0.5049504707190406_0.04208165215458046,0.3821787585555682_0.4521193682399937_0.0212532039823184,0.43621537994804377_0.3762512815371132_0.011109604923365289,0.48032899722379374_0.37042480869975913_0.0015641368400286207,0.5146294264384532_0.37828369791593874_-0.02369246619539376,0.3600552402383125_0.4193592933731296_0.008312304778685654,0.40114331657719304_0.2831056167941337_0.0010342417189805725,0.43833592318797376_0.2036077628790584_-0.00962009608326866,0.4691556220720547_0.1439109175996053_-0.022092565488432272
