timestamp,task,trail,WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP
71058,BA_RIGHT_CLICK,9,0.24482179728382286_0.7940021013129789_0.040117183712822885,0.3263093503798916_0.761571963838511_0.038555732450539074,0.3848502922609483_0.7228282012170715_0.024539206374034905,0.42500931858071295_0.7067211448251713_0.003615459366492914,0.4686190548345799_0.6833282879441276_-0.02115190272437638,0.3447681058998218_0.5007027115307365_0.020650759070629073,0.40230494705597447_0.47403996459874975_0.0067655599174157414,0.4448740015138324_0.4633079907712408_-0.002292184066766928,0.48170936845069295_0.4657936082048283_-0.023318377843671693,0.3070662721984633_0.49117248020895987_0.0060683282884286625,0.3883854415860487_0.4729960958483184_-0.01072846722513318,0.4385436721875501_0.48725825441412457_-0.017083269312579828,0.477496929746971_0.4795703536467651_-0.018325673415543912
71094,BA_RIGHT_CLICK,9,0.24517681238836814_0.7954708222475877_0.0395242154699188,0.32554883738246554_0.7628657024795003_0.03811617529921071,0.3842324545824556_0.722974854121698_0.02376992718247225,0.4247021682186811_0.7068592571496574_0.0028022765627324477,0.46810075543764074_0.6839077847361004_-0.021799804726498173,0.3449523917480557_0.5004954954689436_0.020453457319350398,0.4012034473241161_0.47514777201202285_0.006173068766375831,0.443220053490729_0.46351181200481006_-0.0031557663536027516,0.47973498695949846_0.46512462383612524_-0.024748430817265236,0.30735881566946094_0.489545329509804_0.0060233618207634915,0.38776753281328785_0.47172835074443537_-0.011040115331887245,0.43807401245707134_0.48377747450297937_-0.017872313224950948,0.47751869581707757_0.47482623626366455_-0.019838477670576
71124,BA_RIGHT_CLICK,9,0.24493845532565728_0.7949979570648854_0.03968523532959791,0.3256186861188173_0.7622235617394597_0.03813213675445188,0.3842427735204719_0.7227538008770094_0.023640773422460955,0.4244997149406981_0.7074744910621331_0.0027913373319959555,0.4680618218775021_0.685503643922761_-0.02193443036815075,0.34485610895508517_0.5006465093855614_0.020423242873836643,0.4003510604239139_0.47547931327650367_0.006118373659913104,0.4423061286423452_0.46262836044102157_-0.003244550765033996,0.4787660002220483_0.46345119624220954_-0.02498673740541055,0.3072163875098577_0.4895956747520998_0.006008239096431846,0.38733847288110823_0.4697937874204232_-0.010991625170134736,0.4377324619760026_0.48098505428652655_-0.01792508378718656,0.47729249256903683_0.4709955729609744_-0.020081152915498276
71158,BA_RIGHT_CLICK,9,0.24504086359524263_0.7953358028047709_0.03978554753115156,0.3253157511068153_0.7621549885555388_0.03797420119624034,0.3839778129001636_0.722881454569558_0.023590462785515152,0.4243703381776104_0.7075946498412837_0.002758843927276605,0.46808011112176795_0.6860284902038216_-0.02181843762986301,0.3440473641805172_0.5002358676246448_0.020349909406414898,0.3994698985367324_0.4760102339921746_0.0060625923376594875,0.44147146145612776_0.4633073773786962_-0.0032770528320284174,0.4779765891638447_0.46400221942968073_-0.025099385527889845,0.3063130172249119_0.4892903870573867_0.006028892924212548,0.3862906980341194_0.4693359659676802_-0.010994359596747742,0.4366069884196845_0.480850274493064_-0.018055844426905013,0.4761225816254199_0.4710846287064565_-0.02015936207734796
-1,BA_SCROLL,0,,,,,,,,,,,,,
72956,BA_SCROLL,0,0.25165383245333883_0.7826637414978083_-0.00393398320562047,0.3149667174263352_0.7316412460736177_0.008392586201548388,0.3688844754574703_0.650736223022687_0.025639041654910374,0.4066705178876834_0.5865174169434435_0.04840859604811431,0.44193333392056083_0.5267700252898516_0.0687963758385132,0.3104617038867086_0.46495748306772877_0.027594454410667095,0.34950162998584106_0.38551898102669013_0.020142893477690375,0.38374900309751675_0.3337132717992294_0.012487651754763693,0.41556673558780266_0.2963816140516758_-0.011255026059936666,0.28118408618212054_0.4540218669173215_0.007791489642527499,0.33929831883998557_0.3775025563610329_-0.005880318758535366,0.3847979958564539_0.337828319804884_-0.022021079156245238,0.41732860640461583_0.3013279060317056_-0.03567610631068052
72994,BA_SCROLL,0,0.2521485902928102_0.7827351520765731_-0.004155385347298004,0.3151845288788123_0.7314820156043165_0.008386575293636171,0.369085968675455_0.649817820676603_0.02595378112208504,0.4068927583424343_0.5851779766951662_0.0490882517531376,0.44203642014433747_0.5253190635019924_0.07012401974010071,0.3106882484357524_0.46462537642686985_0.027723939576144916,0.34979083364603675_0.38462687572406207_0.020341181146631367,0.38414222787626784_0.3329276808758917_0.012830896655199504,0.41600553442818894_0.29578628455989836_-0.01084675804582531,0.28145648954582464_0.45380236768699445_0.007756006196472485,0.33975768964840447_0.37763557689767946_-0.00592598333171843,0.3852264567780892_0.3383357974187668_-0.02195864595448609,0.4176082574190723_0.302045338932115_-0.03557956774774791
73024,BA_SCROLL,0,0.25234942381086256_0.7824469669905432_-0.004316851155631715,0.3152213952950512_0.731078280253839_0.008334237823562502,0.3690989026564285_0.6493156642027204_0.02621816417703357,0.4069459531567966_0.5849807650307546_0.049906077216852585,0.4421258807481909_0.5256048988004038_0.0716153926118819,0.3105137575945034_0.46404475805258294_0.027835398501869762,0.34963948707101944_0.3843964659417985_0.020380056609733684,0.38397439154631463_0.33277302930039904_0.012794445736787778,0.4157990793369848_0.29563164166921996_-0.011047361618735749,0.28129385446129046_0.45318789334278714_0.007734428152706973,0.3397683571287272_0.3773505279015054_-0.005942139142448414,0.3851591217174848_0.33796329516539064_-0.021916266202733008,0.4174786597778024_0.30152828779493823_-0.035453455128221525
73058,BA_SCROLL,0,0.25270329908134387_0.7820737969277006_-0.00447761761679091,0.3152092545836667_0.7310822592128369_0.008260033817829037,0.3692289776911676_0.6489540291076902_0.026340692807271693,0.40719080121218965_0.5845485639937504_0.05027092574500154,0.44224369647515493_0.5253318985859163_0.0724083828103231,0.3106342319075882_0.4639508313901865_0.02783724185762145,0.34967922910307414_0.3838024992343043_0.020457079378782737,0.384029993078284_0.3321235116265833_0.012932574378317248,0.415898071128737_0.2950162844047119_-0.010860610913402525,0.28143900660370036_0.453170725116582_0.007708723837349218,0.3398449119336031_0.377394548145179_-0.006003653497453299,0.38517413279650375_0.3381465055018194_-0.021960338687741828,0.4174501669637062_0.3017537100050851_-0.03540873943006898
73094,BA_SCROLL,0,0.2531052867221979_0.7818920979021154_-0.004505793233981434,0.3151989698099693_0.7312539327898862_0.008152903450919267,0.36919945774955276_0.6490086040692332_0.026263358846532994,0.40705890179395526_0.5842719803148735_0.050146393108074755,0.44185948469172065_0.5247671000607497_0.07215006130311383,0.3105781367162561_0.46420874889434527_0.027782883381345574,0.3494852224529153_0.38392780690163414_0.020363367889737312,0.3837354371239126_0.3323182174319124_0.012896297873549184,0.41555790416289257_0.2950892771232263_-0.010824465134673666,0.28145511768415965_0.4535166211203347_0.007749560992291294,0.33959516258292377_0.37792118079443304_-0.006075759125515435,0.38480327718446866_0.3384213668083769_-0.022091147391672193,0.4170533416455347_0.3018850885179841_-0.035569182381915296
