timestamp,task,trail,WRIST,THUMB_CMC,THUMB_MCP,THUMB_IP,THUMB_TIP,INDEX_FINGER_MCP,INDEX_FINGER_PIP,INDEX_FINGER_DIP,INDEX_FINGER_TIP,MIDDLE_FINGER_MCP,MIDDLE_FINGER_PIP,MIDDLE_FINGER_DIP,MIDDLE_FINGER_TIP
18513,BA_LEFT_CLICK,0,0.1629978599476839_0.8466729940708986_-0.018303726519968568,0.21845577263081514_0.8516244830384442_-0.024520340989506922,0.27489772041978955_0.8019330547554645_-0.03135096074977459,0.30694064700678053_0.7399875293180317_-0.04135466096102548,0.3300854439730515_0.6905188140472831_-0.041869069791793105,0.28289538408051645_0.6733686751111764_0.004591068906278787,0.3116160691714212_0.6175837222709463_-0.0033735865662604964,0.3274484984742341_0.5866874874466472_-0.016699889511815683,0.3399627324935235_0.5625928581724987_-0.049921612767840136,0.26021506522760396_0.6353166497335817_0.008129155309774354,0.29355761025424176_0.5612575396592033_-0.0007136449565985437,0.31464219992385023_0.5185179060646214_-0.019633237878784238,0.33398862000556434_0.48511226248350153_-0.044107718986927155
18549,BA_LEFT_CLICK,0,0.16300051767254073_0.8460417128989308_-0.01722555659677701,0.21845790726538059_0.8512865258609922_-0.023824268325548716,0.27472817580177405_0.8025189555727127_-0.031243924632381924,0.3067897574430709_0.741578560670612_-0.04190294376849614,0.329954405641164_0.6928051970164826_-0.04277249825553837,0.28334151931389745_0.673482630728437_0.004352413640571736,0.31213388331221936_0.6180926802932585_-0.003737143421976598,0.3279129117859791_0.5874364948935361_-0.017184680569928466,0.34035104846926034_0.5634363127525985_-0.05062865283367214,0.2606785467041779_0.6351491051185915_0.008012616299015583,0.29405042222400807_0.5614256846662055_-0.000911388127048702,0.31492583278835384_0.5188915686566288_-0.020109475143992663,0.3340665445029867_0.48564709243461623_-0.044776173410939125
18578,BA_LEFT_CLICK,0,0.16288378921051183_0.8457224160344767_-0.01653845798942341,0.21832629428383157_0.850826295483563_-0.02329073349188276,0.27450231059610064_0.8031218939656165_-0.030996171104678734,0.30627727638292357_0.7429724904699307_-0.04215067570876664,0.32886233728377473_0.6945944636472743_-0.04338280282463028,0.28350129705893656_0.6734907063474285_0.004293939889393729,0.31221502810706614_0.6186841561936827_-0.003946732874559428,0.3279537201033743_0.5883160334163549_-0.017634884461769723,0.34036898283935785_0.5644233570715856_-0.05131373110435151,0.2609012441454926_0.6349274863615663_0.00793158243590379,0.29422169082371635_0.5614369025036248_-0.001137926839224411,0.315041755231385_0.5190225566831156_-0.020552556604738047,0.33412439587117293_0.4857690415166627_-0.045360799215735555
18616,BA_LEFT_CLICK,0,0.16241439649978764_0.844493980400671_-0.014862577652715793,0.21770166862866439_0.8499810236839086_-0.022213489310348097,0.2737976339993415_0.803550767392647_-0.03037128247242707,0.30529887780036963_0.744162664636229_-0.04244072393951087,0.32695104917882645_0.6959967541224704_-0.04438218909140741,0.2835285900610897_0.6731829311553659_0.004141125715512024,0.31235958170882794_0.6185527908439232_-0.004242658731021139,0.32803909898652334_0.5882836541599943_-0.01797300130725643,0.34030329917889596_0.5643916524426994_-0.05165052356737251,0.26096033586014106_0.6344095865738417_0.007792926797221377,0.29437327307866606_0.5610268799626471_-0.0013520819246227844,0.3150816834705389_0.5186483880207479_-0.020950250041957705,0.3339245753479088_0.48540461710157484_-0.04571346885562067
18646,BA_LEFT_CLICK,0,0.16169398601468_0.8433215818348802_-0.012557839779681486,0.21658928003995542_0.84900573397856_-0.020599939323587467,0.27236891607741814_0.8041790028339479_-0.029465308963628915,0.30345049941131624_0.7456107503765859_-0.04252703661821103,0.3245090424299142_0.6980623306852138_-0.0454387282342618,0.283267999774473_0.6726066323998787_0.003941664009680737,0.31193117127412107_0.6180060996719038_-0.004631005320292833,0.3274689588614599_0.5877737848811876_-0.018517074142700363,0.3396273472708206_0.5641228872121857_-0.05234351261391158,0.2606378458575312_0.6335790355882666_0.007618207062443316,0.2940657013448603_0.5601250837773992_-0.0017063028454347693,0.31463361197609235_0.5180384652078581_-0.021236736843964266,0.33345489398575506_0.485013180184861_-0.04589866357326607
18682,BA_LEFT_CLICK,0,0.16044696232172323_0.8412029307320338_-0.009787942313056408,0.21508996532034022_0.8473229090784474_-0.018714441674648325,0.2711762493475302_0.8034176508526686_-0.028268187188603328,0.30169071311624174_0.7451096826071769_-0.042420646449739266,0.3209807061576765_0.6973488451656944_-0.04630193630940957,0.28263245430489947_0.6708329083826716_0.0036613535160941995,0.3111938124942267_0.6156981264835863_-0.005025449469361403,0.326563606553737_0.5856211184544191_-0.019099922452216093,0.33860186289165345_0.5625386252070655_-0.05311577372895809,0.25977481902725724_0.6315003911560075_0.007393585552899218,0.29316064904471456_0.557661987187935_-0.0020623853277813788,0.3136096510402245_0.5158275354910241_-0.021657391305749264,0.33229948437958307_0.48332037385980287_-0.04632865692997058
18712,BA_LEFT_CLICK,0,0.15831231324269354_0.8386479148256478_-0.008015193814358092,0.21300218678054128_0.8450098260573137_-0.017578527881859624,0.2689924721419036_0.8027303918155577_-0.02774923359831003,0.29891611381269556_0.7444963497539545_-0.042598408679814764,0.3168379671115813_0.6954087950084406_-0.047089899739323,0.28097116873185296_0.6690206100389621_0.003400901259988397,0.3091775684394426_0.613622842255137_-0.005494257271030504,0.32437272262053785_0.5833704232440651_-0.019722796657756763,0.33649137457540773_0.5602983128281586_-0.05428226572789456,0.2579859495249369_0.6292097671751418_0.00731665457596634,0.2909021154271779_0.5547689253826723_-0.0023351664719304557,0.3112457802384601_0.5125753453579225_-0.021997549268392442,0.3300458777487226_0.47987858340485895_-0.04687773629684512
18750,BA_LEFT_CLICK,0,0.15559740661298418_0.8348820550431966_-0.0067091739370989615,0.21030066948363713_0.841544479078578_-0.01678683205776126,0.2662086156606054_0.8012508951785204_-0.027169395013489948,0.29617889319973834_0.7440296922222921_-0.04255735802304875,0.31210869008216363_0.6944123416975179_-0.04754958364224271,0.27864307105954855_0.6662161008393973_0.003278514684843898,0.3063470708400398_0.6107928021930866_-0.005659173297674624,0.32145598444523094_0.5796870040310431_-0.01999143336540524,0.3334904538816702_0.556269219815902_-0.054704130451025214,0.25535510779118364_0.6259035908320933_0.007253596954029832,0.28787856699841957_0.5510234637848366_-0.0025428696773307415,0.30789147301431546_0.5088459747001869_-0.022258027400801753,0.3267658522558171_0.4758188616064708_-0.047016535756264244
18779,BA_LEFT_CLICK,0,0.15275841592721293_0.8299052034370231_-0.0037881029104842997,0.20697293314321463_0.8370394229463952_-0.015122195834578758,0.2626835290669899_0.7990779203702639_-0.026135170280010406,0.2920852668692084_0.7426287344373186_-0.04273275526485547,0.3050840811245688_0.6930012750494511_-0.04842886676673759,0.27581081343028047_0.6624590361814666_0.002813284350719357,0.30344538585904357_0.606157005960402_-0.006333834721876119,0.31823640992785834_0.5744779386053886_-0.020898744557905708,0.33008646982721424_0.550616734266418_-0.05577756077857149,0.2522574478443132_0.6215668195994211_0.007058943751440075,0.28462661029352937_0.5461358748906318_-0.0030454155247892456,0.3044689296397849_0.5037262477052484_-0.02323926161228035,0.32309115694617896_0.4706744584105429_-0.04821583990834087
18816,BA_LEFT_CLICK,0,0.149746090284762_0.8254022649568024_2.7754508999645443e-05,0.20340685751425128_0.8327274298327937_-0.012829297884036452,0.25859467658038937_0.7972160993043289_-0.02492978379652572,0.28767266810809866_0.7413359968882338_-0.04308694644468391,0.2989468587488372_0.6902940907373454_-0.049546205801047245,0.27282651505735_0.6587420149406568_0.0021009363756865694,0.30039891756823156_0.6018955478148915_-0.0073874408358199865,0.3147867733680832_0.5693941814049408_-0.022171522752132827,0.32608496560900957_0.5449366871834896_-0.057395735270272356,0.2489564718052281_0.6170263429094563_0.00681123147844126,0.28108597375118094_0.5406480807489922_-0.0037104636582919372,0.3005063651969659_0.4979245752153615_-0.024366150164591583,0.3187288702857945_0.46450693866904713_-0.0494937061435535
